Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.
0.001000	1.080950	1.020701	74.530626	75.916001	
0.001000	1.066432	1.009823	74.885385	75.936001	
0.001000	1.063027	1.006278	75.036645	75.904002	
0.001000	1.045941	1.003965	75.133327	75.894002
0.001000	1.030308	0.995110	75.635448	75.948002
0.001000	1.035212	0.998005	75.476391	76.048002
0.001000	0.992453	0.977967	76.549245	76.290002	
0.001000	0.987347	0.975228	76.637350	76.478002	
0.001000	0.983866	0.971878	76.794848	76.548003	
0.001000	0.979304	0.970106	76.698166	76.588002	
0.001000	0.972411	0.969241	77.035772	76.660001	
0.001000	0.977878	0.967702	76.973397	76.546002	
0.001000	0.975364	0.969205	76.954684	76.588001	
0.001000	0.972891	0.970483	77.109843	76.526001	
0.001000	0.975960	0.967884	76.972617	76.570002
0.000100	0.967081	0.964554	77.137912	76.572001	
0.000100	0.972298	0.966086	77.111402	76.712001	
0.000100	0.964044	0.965969	77.134013	76.576002	
0.000100	0.967296	0.966174	77.127776	76.736002	
0.000100	0.963413	0.965600	77.173777	76.736001
